date,day,campus,count,meal,soup,main_dish,vegetarian,side_dishes,dessert
2024-09-20,friday,Guney,23,breakfast,pisi,salatalik,,"kasar peynir, tereyagi, labne","recel, sutlu gevrek"
2024-09-20,friday,Kilyos,15,breakfast,pisi,salatalik,,"kasar peynir, tereyagi, labne","recel, sutlu gevrek"
2024-09-20,friday,Kandilli,47,breakfast,pisi,salatalik,,"kasar peynir, tereyagi, labne","recel, sutlu gevrek"
2024-09-21,saturday,Anadoluhisari,86,breakfast,patates kizartmasi,yesil zeytin,,"siyah zeytin, domates, salatalik, tahin helva, yumurta, sutlu gevrek","beyaz peynir, tereyagi, bal"
2024-09-21,saturday,Kuzey,95,breakfast,patates kizartmasi,yesil zeytin,,"siyah zeytin, domates, salatalik, tahin helva, yumurta, sutlu gevrek","beyaz peynir, tereyagi, bal"
2024-09-21,saturday,Kilyos,16,breakfast,patates kizartmasi,yesil zeytin,,"siyah zeytin, domates, salatalik, tahin helva, yumurta, sutlu gevrek","beyaz peynir, tereyagi, bal"
2024-09-21,saturday,Kandilli,87,breakfast,patates kizartmasi,yesil zeytin,,"siyah zeytin, domates, salatalik, tahin helva, yumurta, sutlu gevrek","beyaz peynir, tereyagi, bal"
2024-09-22,sunday,Anadoluhisari,135,breakfast,,corba,yumurta,"domates, salatalik, sutlu gevrek, kasar peynir, yesil zeytin, siyah zeytin","recel, labne, tahin-pekmez"
2024-09-22,sunday,Kuzey,126,breakfast,,corba,yumurta,"domates, salatalik, sutlu gevrek, kasar peynir, yesil zeytin, siyah zeytin","recel, labne, tahin-pekmez"
2024-09-22,sunday,Guney,8,breakfast,,corba,yumurta,"domates, salatalik, sutlu gevrek, kasar peynir, yesil zeytin, siyah zeytin","recel, labne, tahin-pekmez"
2024-09-22,sunday,Kilyos,24,breakfast,,corba,yumurta,"domates, salatalik, sutlu gevrek, kasar peynir, yesil zeytin, siyah zeytin","recel, labne, tahin-pekmez"
2024-09-22,sunday,Kandilli,129,breakfast,,corba,yumurta,"domates, salatalik, sutlu gevrek, kasar peynir, yesil zeytin, siyah zeytin","recel, labne, tahin-pekmez"
2024-09-23,monday,Anadoluhisari,357,breakfast,,pogaca + acma,yumurta,"domates, salatalik, sutlu gevrek, kasar peynir, yesil zeytin, siyah zeytin","findik kremasi, tereyagi, bal"
2024-09-23,monday,Kuzey,463,breakfast,,pogaca + acma,yumurta,"domates, salatalik, sutlu gevrek, kasar peynir, yesil zeytin, siyah zeytin","findik kremasi, tereyagi, bal"
2024-09-23,monday,Guney,231,breakfast,,pogaca + acma,yumurta,"domates, salatalik, sutlu gevrek, kasar peynir, yesil zeytin, siyah zeytin","findik kremasi, tereyagi, bal"
2024-09-23,monday,Kilyos,26,breakfast,,pogaca + acma,yumurta,"domates, salatalik, sutlu gevrek, kasar peynir, yesil zeytin, siyah zeytin","findik kremasi, tereyagi, bal"
2024-09-23,monday,Kandilli,142,breakfast,,pogaca + acma,yumurta,"domates, salatalik, sutlu gevrek, kasar peynir, yesil zeytin, siyah zeytin","findik kremasi, tereyagi, bal"
2024-09-24,tuesday,Anadoluhisari,146,breakfast,,patates kizartmasi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, tahin helva, tereyag, recel"
2024-09-24,tuesday,Kuzey,445,breakfast,,patates kizartmasi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, tahin helva, tereyag, recel"
2024-09-24,tuesday,Guney,206,breakfast,,patates kizartmasi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, tahin helva, tereyag, recel"
2024-09-24,tuesday,Kilyos,38,breakfast,,patates kizartmasi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, tahin helva, tereyag, recel"
2024-09-24,tuesday,Kandilli,126,breakfast,,patates kizartmasi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, tahin helva, tereyag, recel"
2024-09-25,wednesday,Anadoluhisari,91,breakfast,,menemen,yumurta,"yesil zeytin, siyah zeytin, domates","salatalik, kasar peynir, sutlu gevrek"
2024-09-25,wednesday,Kuzey,364,breakfast,,menemen,yumurta,"yesil zeytin, siyah zeytin, domates","salatalik, kasar peynir, sutlu gevrek"
2024-09-25,wednesday,Guney,173,breakfast,,menemen,yumurta,"yesil zeytin, siyah zeytin, domates","salatalik, kasar peynir, sutlu gevrek"
2024-09-25,wednesday,Kilyos,27,breakfast,,menemen,yumurta,"yesil zeytin, siyah zeytin, domates","salatalik, kasar peynir, sutlu gevrek"
2024-09-25,wednesday,Kandilli,88,breakfast,,menemen,yumurta,"yesil zeytin, siyah zeytin, domates","salatalik, kasar peynir, sutlu gevrek"
2024-09-26,thursday,Anadoluhisari,79,breakfast,,acma/simit,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, tahin helva","labne, beyaz peynir"
2024-09-26,thursday,Kuzey,342,breakfast,,acma/simit,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, tahin helva","labne, beyaz peynir"
2024-09-26,thursday,Guney,145,breakfast,,acma/simit,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, tahin helva","labne, beyaz peynir"
2024-09-26,thursday,Kilyos,34,breakfast,,acma/simit,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, tahin helva","labne, beyaz peynir"
2024-09-26,thursday,Kandilli,96,breakfast,,acma/simit,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, tahin helva","labne, beyaz peynir"
2024-09-27,friday,Anadoluhisari,304,breakfast,,pisi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik","sutlu gevrek, kasar peynir"
2024-09-27,friday,Kuzey,253,breakfast,,pisi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik","sutlu gevrek, kasar peynir"
2024-09-27,friday,Guney,126,breakfast,,pisi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik","sutlu gevrek, kasar peynir"
2024-09-27,friday,Kilyos,35,breakfast,,pisi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik","sutlu gevrek, kasar peynir"
2024-09-27,friday,Kandilli,119,breakfast,,pisi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik","sutlu gevrek, kasar peynir"
2024-09-28,saturday,Anadoluhisari,56,breakfast,,patates kizartmasi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik","beyaz peynir, tahin helva"
2024-09-28,saturday,Kuzey,144,breakfast,,patates kizartmasi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik","beyaz peynir, tahin helva"
2024-09-28,saturday,Guney,91,breakfast,,patates kizartmasi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik","beyaz peynir, tahin helva"
2024-09-28,saturday,Kilyos,39,breakfast,,patates kizartmasi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik","beyaz peynir, tahin helva"
2024-09-28,saturday,Kandilli,58,breakfast,,patates kizartmasi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik","beyaz peynir, tahin helva"
2024-09-29,sunday,Anadoluhisari,58,breakfast,,corba,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek, kasar peynir","recel, labne, tahin-pekmez"
